0,0.0
1,0.0
2,0.8
3,1.7
4,2.75
5,3.9
6,5.1
7,5.5
8,5.85
9,6.1
10,6.25
11,6.4
12,6.55
13,6.7
14,6.8
15,6.95
16,6.85
17,6.85
18,6.85
19,6.85
20,6.9
21,7.2
22,7.35
23,7.4
24,7.45
25,7.4
26,7.25
27,7.1
28,6.9
29,6.75
30,6.65
31,6.4
32,5.55
33,4.6
34,3.8
35,3.1
36,2.75
37,3.25
38,4.1
39,4.8
40,5.4
41,5.9
42,6.25
43,6.6
44,6.95
45,7.3
46,7.65
47,8.0
48,8.35
49,8.65
50,8.95
51,9.05
52,9.15
53,9.1
54,9.05
55,9.0
56,9.1
57,9.15
58,9.2
59,9.3
60,9.35
61,9.4
62,9.45
63,9.55
64,9.6
65,9.7
66,9.8
67,9.9
68,9.95
69,9.95
70,9.9
71,9.85
72,9.75
73,9.65
74,9.55
75,9.4
76,9.2
77,9.05
78,8.85
79,8.7
80,8.6
81,8.5
82,8.4
83,8.35
84,8.3
85,8.25
86,8.25
87,8.2
88,8.15
89,8.1
90,8.05
91,8.0
92,8.0
93,8.0
94,8.0
95,8.0
96,8.0
97,8.0
98,8.0
99,8.0
100,8.0
101,8.0
102,8.0
103,8.0
104,8.0
105,8.0
106,7.95
107,7.95
108,7.95
109,7.95
110,7.95
111,8.0
112,8.0
113,8.0
114,8.0
115,8.0
116,8.05
117,8.1
118,8.1
119,8.1
120,8.1
121,8.05
122,8.0
123,8.0
124,7.95
125,7.9
126,7.8
127,7.65
128,7.5
129,7.35
130,7.15
131,7.0
132,6.85
133,6.65
134,6.05
135,5.35
136,4.85
137,4.5
138,4.25
139,4.5
140,5.0
141,5.35
142,5.65
143,5.95
144,6.25
145,6.5
146,6.7
147,6.9
148,7.1
149,7.25
150,7.35
151,7.5
152,7.6
153,7.65
154,7.65
155,7.65
156,7.55
157,7.3
158,6.6
159,5.75
160,5.0
161,4.4
162,4.05
163,4.2
164,4.65
165,5.05
166,5.35
167,5.6
168,5.8
169,5.95
170,6.1
171,6.25
172,6.35
173,6.45
174,6.55
175,6.65
176,6.75
177,6.85
178,7.0
179,7.1
180,7.15
181,7.2
182,7.25
183,7.3
184,7.35
185,7.4
186,7.5
187,7.6
188,7.65
189,7.75
190,7.85
191,7.9
192,7.95
193,8.0
194,8.0
195,8.0
196,8.0
197,8.0
198,8.0
199,8.0
200,8.0
201,8.0
202,8.0
203,8.05
204,8.1
205,8.15
206,8.2
207,8.25
208,8.25
209,8.25
210,8.25
211,8.25
212,8.25
213,8.25
214,8.25
215,8.25
216,8.25
217,8.25
218,8.25
219,8.2
220,8.15
221,8.15
222,8.1
223,8.05
224,8.05
225,8.05
226,8.0
227,8.0
228,8.05
229,8.1
230,8.15
231,8.2
232,8.25
233,8.2
234,8.15
235,8.05
236,7.95
237,7.85
238,7.8
239,7.75
240,7.75
241,7.75
242,7.75
243,7.75
244,7.7
245,7.65
246,7.65
247,7.65
248,7.65
249,7.7
250,7.8
251,7.85
252,7.9
253,7.95
254,8.05
255,8.1
256,8.15
257,8.2
258,8.25
259,8.25
260,8.25
261,8.25
262,8.25
263,8.25
264,8.2
265,8.15
266,8.05
267,7.9
268,7.7
269,7.5
270,7.3
271,7.1
272,6.9
273,6.75
274,6.6
275,6.4
276,6.2
277,6.05
278,5.9
279,5.7
280,5.55
281,5.4
282,5.0
283,4.6
284,4.1
285,3.65
286,3.4
287,3.75
288,4.3
289,5.15
290,6.05
291,6.85
292,7.4
293,7.75
294,8.05
295,8.3
296,8.5
297,8.65
298,8.85
299,9.05
300,9.2
301,9.3
302,9.35
303,9.3
304,9.2
305,9.1
306,9.05
307,8.95
308,8.85
309,8.75
310,8.6
311,8.45
312,8.3
313,8.2
314,8.1
315,8.05
316,8.05
317,8.1
318,8.15
319,8.25
320,8.35
321,8.4
322,8.45
323,8.5
324,8.5
325,8.5
326,8.5
327,8.5
328,8.5
329,8.5
330,8.5
331,8.5
332,8.5
333,8.5
334,8.5
335,8.5
336,8.5
337,8.5
338,8.5
339,8.45
340,8.45
341,8.4
342,8.35
343,8.3
344,8.3
345,8.2
346,8.15
347,8.05
348,7.95
349,7.85
350,7.8
351,7.75
352,7.75
353,7.75
354,7.75
355,7.75
356,7.75
357,7.75
358,7.75
359,7.75
360,7.75
361,7.8
362,7.85
363,7.9
364,7.95
365,8.0
366,8.0
367,8.0
368,8.0
369,8.0
370,8.0
371,8.05
372,8.1
373,8.1
374,8.1
375,8.15
376,8.15
377,8.15
378,8.2
379,8.25
380,8.25
381,8.25
382,8.3
383,8.35
384,8.4
385,8.45
386,8.5
387,8.5
388,8.5
389,8.5
390,8.5
391,8.45
392,8.4
393,8.3
394,8.15
395,8.0
396,7.85
397,7.65
398,7.5
399,7.3
400,6.95
401,6.45
402,5.65
403,4.85
404,3.6
405,2.6
406,2.2
407,2.3
408,2.4
409,3.5
410,4.65
411,5.5
412,6.35
413,7.25
414,7.8
415,8.25
416,8.65
417,8.95
418,9.2
419,9.35
420,9.45
421,9.55
422,9.6
423,9.65
424,9.7
425,9.75
426,9.75
427,9.75
428,9.75
429,9.75
430,9.7
431,9.65
432,9.6
433,9.55
434,9.5
435,9.5
436,9.45
437,9.4
438,9.35
439,9.3
440,9.25
441,9.25
442,9.2
443,9.15
444,9.05
445,8.95
446,8.85
447,8.75
448,8.65
449,8.65
450,8.65
451,8.65
452,8.7
453,8.7
454,8.65
455,8.6
456,8.55
457,8.5
458,8.55
459,8.6
460,8.65
461,8.7
462,8.7
463,8.65
464,8.6
465,8.55
